0,20
1,30
2,32
3,40
4,48
5,70
6,80
7,81
8,80
9,9
10,16
11,30
12,36
13,50
14,60
15,70
16,80
17,81
18,90
19,9
20,20
21,30
22,36
23,45
24,60
25,56
26,72
27,90
28,100
29,8
30,18
31,24
32,40
33,45
34,48
35,70
36,80
37,81
38,90
39,9
40,18
41,27
42,36
43,50
44,48
45,70
46,64
47,90
48,100
49,10
50,20
51,30
52,32
53,50
54,54
55,56
56,80
57,90
58,100
59,8
60,16
61,30
62,36
63,50
64,48
65,56
66,72
67,90
68,80
69,8
70,18
71,24
72,40
73,40
74,54
75,63
76,80
77,90
78,90
79,8
80,18
81,27
82,32
83,40
84,54
85,63
86,72
87,90
88,80
89,10
90,18
91,24
92,36
93,50
94,54
95,56
96,64
97,81
98,100
99,8
100,18
101,30
102,32
103,45
104,54
105,63
106,72
107,90
108,100
109,8
110,20
111,30
112,40
113,50
114,54
115,56
116,80
117,72
118,90
119,8
120,20
121,27
122,32
123,45
124,60
125,63
126,72
127,81
